company_name,website
Gulf Infotech,https://gulfinfotech.com
Sentinel Business Technologies,https://sentinelbt.com
WEMS Arabia,https://www.wemsarabia.com
Daud Group of Companies,https://www.aldaud.com
Trustlic Group,https://trustlicgroup.com
Mezzan Holding,https://www.mezzan.com
Al Seer Group,https://www.alseer.com
Al Ghurair Investment,https://www.al-ghurair.com
Al Batha Group,https://www.albatha.com
Juma Al Majid Holding Group,https://www.jumaalmadjid.com
Al-Futtaim Engineering,https://www.afet.ae
Al Shirawi Group,https://www.alshirawi.com
Al Shirawi Enterprises,https://www.alshirawi.com
Kanoo Group,https://www.kanoo.com
Al Masaood Group,https://www.almasaood.com
Gargash Enterprises,https://www.gargash.com
Nasco Insurance Group,https://www.nasco.com
Ghantoot Group,https://www.ghantoot.com
Damas Jewellery,https://www.damasjewellery.com
Jashanmal National Company,https://www.jashanmal.com
Choithrams,https://www.choithrams.com
Truebell Marketing & Trading,https://www.truebell.org
Al Maya Supermarkets,https://almaya.ae
Union Coop,https://www.unioncoop.ae
NMC Healthcare,https://www.nmc.ae
Aster DM Healthcare,https://www.asterdmhealthcare.com
Burjeel Holdings,https://www.burjeel.com
Medeor Hospital,https://www.medeor.ae
Prime Healthcare Group,https://www.primehealth.ae
Arabian Construction Company,https://www.accsal.com
Sobha Limited,https://www.sobha.com
Azizi Developments,https://www.azizidevelopments.com
Danube Group,https://www.danubegroup.com
RAK Ceramics,https://www.rakceramics.com
National Cement Company,https://www.nationalcement.ae
Union Cement Company,https://www.unioncement.com
Emirates Refreshments,https://www.pepsidubai.com
Al Ain Farms,https://www.alainfarms.com
National Food Products Company,https://www.nfpcgroup.com
IFFCO Group,https://www.iffco.com
Almarai,https://www.almarai.com
Savola Group,https://www.savola.com
Zamil Industrial,https://www.zamilindustrial.com
Alfanar,https://www.alfanar.com
Al Hokair Group,https://www.alhokair.com
Nahdi Medical Company,https://www.nahdi.sa
BinDawood Holding,https://www.bindawood.com
Panda Retail Company,https://www.panda.com.sa
United Electronics (eXtra),https://www.extra.com
Al Muhaidib Group,https://www.almuhaidib.com
Abdullah A.M. Al-Khodari Sons,https://www.alkhodari.com
Al Bawani,https://www.albawani.net
Nesma & Partners,https://www.nesma.com
Alfanar Projects,https://www.alfanar.com
Zahid Group,https://www.zahid.com
Bahri Logistics,https://www.bahri.sa
Red Sea International,https://www.redseainternational.com
Saudi Paper Manufacturing,https://www.saudipaper.com
National Industrialization Company,https://www.tasnee.com
Sipchem,https://www.sipchem.com
Advanced Petrochemical Company,https://www.advancedpetrochem.com
Qatar Navigation (Milaha),https://www.milaha.com
Al Faisal Holding,https://www.alfaisalholding.com
Power International Holding,https://www.powerholding-intl.com
Estithmar Holding,https://www.estithmarholding.com
Baladna,https://www.baladna.com
Widam Food Company,https://www.widam.com.qa
Almuftah Group,https://www.almuftah.com
Mannai Corporation,https://www.mannai.com
Al Mana Group,https://www.almana.com
Al Jaber Engineering,https://www.aje.com.qa
Al Jaidah Brothers,https://www.jaidah.com
Kuwait Food Company (Americana),https://www.americana-group.com
Alshaya Group,https://www.alshaya.com
M.H. Alshaya Co.,https://www.alshaya.com
Agility,https://www.agility.com
KGL Holding,https://www.kgl.com
Burgan Company for Cooperative Insurance,https://www.burgan.com
KDD,https://www.kddc.com
Mezzan Holding,https://www.mezzan.com
Kuwait Projects Company,https://www.kipco.com
Mabanee Company,https://www.mabanee.com
Towell Group,https://www.towellgroup.com
OMRAN Group,https://www.omran.om
Oman Cement Company,https://www.omancement.com
Oman Flour Mills,https://www.omflourmills.com
Oman Fisheries,https://www.omfish.com
Oman Refreshment Company,https://www.pepsicolaoman.com
Al Tasnim Group,https://www.altasnim.com
Bahwan Engineering Company,https://www.bahwanengineering.com
Bahwan International Group,https://www.bahwaninternational.com
Muscat Pharmacy & Stores,https://www.muscatpharmacy.com
Areej Vegetable Oils & Derivatives,https://www.areej.com
Galfar Engineering & Contracting,https://www.galfar.com
Oman Air,https://www.omanair.com
Bahrain Airport Company,https://www.bahrainairport.bh
Bahrain Flour Mills Company,https://www.bfm.bh
Bahrain National Holding,https://www.bnhgroup.com
Bahrain Telecommunications Company,https://www.batelco.com
Almoayyed International Group,https://www.almoayyed.com
Y.K. Almoayyed & Sons,https://www.almoayyed.com
Kanoo Travel,https://www.kanoo.com
Nass Corporation,https://www.nasscorporation.com
Midal Cables,https://www.midalcable.com
Bahrain Cinema Company,https://www.cineco.com.bh
