company_name,company_domain,person_name,designation,leadership_type,confidence,extraction_method,source_url
Agility,agility.com,Tarek Sultan,"Chairman, Agility",Board,HIGH,sibling_pair,https://agility.com/about-us/leadership/
Agility,agility.com,Henadi Al-Saleh,"CEO and Board Member, Agility",CXO,HIGH,sibling_pair,https://agility.com/about-us/leadership/
Agility,agility.com,Ehab Aziz,"Chief Financial Officer, Agility",CXO,HIGH,sibling_pair,https://agility.com/about-us/leadership/
Agility,agility.com,Hassan El-Houry,"CEO, Menzies Aviation",CXO,HIGH,sibling_pair,https://agility.com/about-us/leadership/
Agility,agility.com,Eugene Mayne,"Group CEO, Tristar",CXO,HIGH,sibling_pair,https://agility.com/about-us/leadership/
Agility,agility.com,Michel Saab,"CEO, ALP",CXO,HIGH,sibling_pair,https://agility.com/about-us/leadership/
Agility,agility.com,Tarek Sultan,"Tarek Sultan Chairman, Agility Read more",Board,MEDIUM,local_parent,https://agility.com/about-us/leadership/
Agility,agility.com,Henadi Al-Saleh,"Henadi Al-Saleh CEO and Board Member, Agility Read more",CXO,MEDIUM,local_parent,https://agility.com/about-us/leadership/
Agility,agility.com,Ehab Aziz,"Ehab Aziz Chief Financial Officer, Agility Read more",CXO,MEDIUM,local_parent,https://agility.com/about-us/leadership/
Agility,agility.com,Hassan El-Houry,"Hassan El-Houry CEO, Menzies Aviation Read more",CXO,MEDIUM,local_parent,https://agility.com/about-us/leadership/
Agility,agility.com,Eugene Mayne,"Eugene Mayne Group CEO, Tristar Read more",CXO,MEDIUM,local_parent,https://agility.com/about-us/leadership/
Agility,agility.com,Michel Saab,"Michel Saab CEO, ALP Read more",CXO,MEDIUM,local_parent,https://agility.com/about-us/leadership/
Al Shirawi Enterprises,alshirawi.com,Abdulla M. Al Shirawi,Founding Chairman,Board,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Mohan G. Valrani,Founding Sr. Vice Chairman,Board,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,CHAIRMAN’S MESSAGE,Chairman,Board,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Mohamed Al Shirawi,Chairman,Board,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Hisham Al Shirawi,Senior Vice Chairman,Board,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Khalid Al Shirawi,Senior Vice Chairman,Board,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Sumeet Valrani,Senior Vice Chairman,Board,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Navin Valrani,Vice Chairman and Managing Director,Executive Leadership,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Thani Al Shirawi,Vice Chairman and Group Deputy Managing Director,Executive Leadership,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Kabir Valrani,Vice Chairman,Board,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Abdulla Hisham Al Shirawi,Deputy CEO Oasis Enterprises and Al Shirawi Solar,CXO,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Rohan Navin Valrani,Deputy CEO Engineering & Healthcare Services Group,CXO,HIGH,sibling_pair,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Mohamed Al Shirawi,Mohamed Al Shirawi Chairman CHAIRMAN’S MESSAGE,Board,MEDIUM,local_parent,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Navin Valrani,Dr. Navin Valrani Vice Chairman and Managing Director Vice Chairman and Managing Director's Message,Executive Leadership,MEDIUM,local_parent,https://alshirawi.com/leadership/
Al Shirawi Enterprises,alshirawi.com,Thani Al Shirawi,Thani Al Shirawi Vice Chairman and Group Deputy Managing Director VICE CHAIRMAN AND GROUP DEPUTY MANAGING DIRECTOR’S MESSAGE,Executive Leadership,MEDIUM,local_parent,https://alshirawi.com/leadership/
Aster DM Healthcare,asterdmhealthcare.com,Azad Moopen,"MD, FRCP, Founder Chairman",Board,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Alisha Moopen,Managing Director & Group Chief Executive Officer,CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,T. J. Wilson,"Executive Director & Group Head, Governance & Corporate Affairs",Executive Leadership,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Shanila Laiju,"Chief Executive Officer, Medcare Hospitals & Medical Centers",CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Sherbaz Bichu,"Chief Executive Officer, Aster Hospitals & Clinics, UAE & Oman",CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,N. S. Balasubramanian,"Chief Executive Officer, Aster Pharmacy",CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Rahul Kadavakolu,Group Chief Marketing Officer,CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Nalla Karunanithy,"Chief Executive Officer, Digital Health & eCommerce",CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Jacob Jacob,Group Chief Human Resources Officer,CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Amitabh Johri,"Group Chief Financial Officer, GCC",CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Abdul Azeez,"Group Chief Executive Officer, Revenue Cycle Management & Payor Relations",CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Mohamed Alshamari,"Chief Executive Officer, Aster Hospitals & Clinics, KSA",CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Kumar K V,Group Chief Information Officer,CXO,HIGH,sibling_pair,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Azad Moopen,"Dr. Azad Moopen MD, FRCP, Founder Chairman View Bio",Board,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Azad Moopen,"Dr. Azad Moopen MD, FRCP, Founder Chairman",Board,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Alisha Moopen,Alisha Moopen Managing Director & Group Chief Executive Officer View Bio,CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Alisha Moopen,Alisha Moopen Managing Director & Group Chief Executive Officer,CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,T. J. Wilson,"T. J. Wilson Executive Director & Group Head, Governance & Corporate Affairs View Bio",Executive Leadership,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,T. J. Wilson,"T. J. Wilson Executive Director & Group Head, Governance & Corporate Affairs",Executive Leadership,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Shanila Laiju,"Dr. Shanila Laiju Chief Executive Officer, Medcare Hospitals & Medical Centers View Bio",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Shanila Laiju,"Dr. Shanila Laiju Chief Executive Officer, Medcare Hospitals & Medical Centers",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Sherbaz Bichu,"Dr. Sherbaz Bichu Chief Executive Officer, Aster Hospitals & Clinics, UAE & Oman View Bio",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Sherbaz Bichu,"Dr. Sherbaz Bichu Chief Executive Officer, Aster Hospitals & Clinics, UAE & Oman",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,N. S. Balasubramanian,"N. S. Balasubramanian Chief Executive Officer, Aster Pharmacy View Bio",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,N. S. Balasubramanian,"N. S. Balasubramanian Chief Executive Officer, Aster Pharmacy",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Rahul Kadavakolu,Rahul Kadavakolu Group Chief Marketing Officer View Bio,CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Rahul Kadavakolu,Rahul Kadavakolu Group Chief Marketing Officer,CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Nalla Karunanithy,"Nalla Karunanithy Chief Executive Officer, Digital Health & eCommerce View Bio",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Nalla Karunanithy,"Nalla Karunanithy Chief Executive Officer, Digital Health & eCommerce",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Jacob Jacob,Jacob Jacob Group Chief Human Resources Officer View Bio,CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Jacob Jacob,Jacob Jacob Group Chief Human Resources Officer,CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Amitabh Johri,"Amitabh Johri Group Chief Financial Officer, GCC View Bio",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Amitabh Johri,"Amitabh Johri Group Chief Financial Officer, GCC",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Abdul Azeez,"Abdul Azeez Group Chief Executive Officer, Revenue Cycle Management & Payor Relations View Bio",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Abdul Azeez,"Abdul Azeez Group Chief Executive Officer, Revenue Cycle Management & Payor Relations",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Mohamed Alshamari,"Mohamed Alshamari Chief Executive Officer, Aster Hospitals & Clinics, KSA View Bio",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Mohamed Alshamari,"Mohamed Alshamari Chief Executive Officer, Aster Hospitals & Clinics, KSA",CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Kumar K V,Kumar K V Group Chief Information Officer View Bio,CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Aster DM Healthcare,asterdmhealthcare.com,Kumar K V,Kumar K V Group Chief Information Officer,CXO,MEDIUM,local_parent,https://asterdmhealthcare.com/about-us/leadership
Kuwait Projects Company,kipco.com,KIPCO,About us Message from the Group CEO KIPCO in the Community,CXO,HIGH,sibling_pair,https://kipco.com/corporate-governance/management-report/
Kuwait Projects Company,kipco.com,KIPCO in the Community,Message from the Group CEO,CXO,MEDIUM,local_parent,https://kipco.com/corporate-governance/management-report/
Red Sea International,redseaintl.com,His Excellency Amr Al-Dabbagh,Chairman,Board,HIGH,sibling_pair,https://redseaintl.com/who-we-are/leadership-team/our-chairman
Sobha Limited,sobha.com,RAVI PNC MENON,CHAIRMAN,Board,HIGH,sibling_pair,https://sobha.com/leadership
